Time (ns),Amplitude
0.0,0.0
1e-10,0.01507907323603712
2e-10,0.030154717620856756
3e-10,0.04522350508293261
4e-10,0.060282009109943524
5e-10,0.07532680552793272
6e-10,0.09035447327993558
7.000000000000001e-10,0.10536159520389839
8e-10,0.1203447588097115
9e-10,0.1353005570551803
1e-09,0.15022558912075706
1.1000000000000001e-09,0.16511646118285808
1.2e-09,0.17996978718558979
1.3e-09,0.1947821896107089
1.4000000000000001e-09,0.20955030024564059
1.5e-09,0.22427076094938117
1.6e-09,0.23894022441611062
1.7000000000000001e-09,0.25355535493634057
1.8e-09,0.2681128291554262
1.9e-09,0.2826093368292685
2e-09,0.2970415815770349
2.1e-09,0.31140628163072825
2.2000000000000003e-09,0.32570017058143214
2.3e-09,0.3399199981220644
2.4e-09,0.354062530786469
2.5e-09,0.368124552684678
2.6e-09,0.3821028662341774
2.7e-09,0.3959942928870099
2.8000000000000003e-09,0.4097956738525493
2.9e-09,0.4235038708157819
3e-09,0.4371157666509329
3.1e-09,0.4506282661302733
3.2e-09,0.4640382966279484
3.3e-09,0.47734280881866603
3.4000000000000003e-09,0.4905387773710874
3.5000000000000003e-09,0.5036232016357608
3.6e-09,0.5165931063274438
3.7e-09,0.5294455422016572
3.8e-09,0.5421775867253178
3.9e-09,0.5547863447412974
4e-09,0.5672689491267565
4.1e-09,0.5796225614451033
4.2e-09,0.5918443725914295
4.3000000000000005e-09,0.603931603431277
4.4000000000000005e-09,0.6158815054325885
4.5e-09,0.6276913612907005
4.6e-09,0.6393584855462348
4.7e-09,0.6508802251957485
4.8e-09,0.6622539602950048
4.9e-09,0.6734771045547251
5e-09,0.6845471059286887
5.1e-09,0.6954614471940469
5.2e-09,0.7062176465237173
5.3e-09,0.7168132580507298
5.4e-09,0.7272458724243959
5.5000000000000004e-09,0.7375131173581739
5.6000000000000005e-09,0.7476126581691069
5.7000000000000006e-09,0.7575421983087094
5.8e-09,0.7672994798851819
5.9e-09,0.7768822841768375
6e-09,0.7862884321366188
6.1e-09,0.795515784887595
6.2e-09,0.8045622442093235
6.3e-09,0.8134257530149682
6.4e-09,0.8221042958190624
6.5e-09,0.8305958991958127
6.6e-09,0.8388986322278398
6.7000000000000004e-09,0.847010606945252
