CMSIS LOOKUP 
COM4 0A23189902152400
COM10 0B0A146602070400
COM16 1C14059902152400
COM17 181F102003249400
COM19 04110780021B2400
COM20 0F090780021B2400
COM21 1C100780021B2400
COM22 1B100680021B2400
COM23 18060780021B2400
COM24 0D200780021B2400
COM25 05140680021B2400
COM26 03150680021B2400
COM27 12070780021B2400
COM28 13080780021B2400
COM29 03130680021B2400
COM30 0E240C80021B2400
COM31 14150680021B2400
COM32 14110680021B2400
